dataset,aug,notation,hl,hu,es,lr,bs,amount,epoch,T,chirals,invalid,valid,unique,novel,invalid%,valid%,unique%,novel%
grisoni,5,SMILES,3,512,-1,0.001,256,6000,3,1.0,1840.0 ± 90.0,240.0 ± 30.0,1600.0 ± 70.0,1600.0 ± 70.0,1600.0 ± 70.0,0.13 ± 0.01,0.87 ± 0.01,1.0 ± 0.0,0.9975 ± 0.0004
grisoni,5,SMILES,3,512,-1,0.001,512,6000,3,1.0,1900.0 ± 100.0,290.0 ± 20.0,1570.0 ± 90.0,1570.0 ± 90.0,1570.0 ± 90.0,0.154 ± 0.005,0.846 ± 0.005,1.0 ± 0.0,0.998 ± 0.001
grisoni,5,fragSMILES,2,256,300,0.001,256,6000,4,1.0,1800.0 ± 100.0,360.0 ± 30.0,1430.0 ± 90.0,1420.0 ± 90.0,1410.0 ± 100.0,0.2 ± 0.01,0.8 ± 0.01,0.998 ± 0.003,0.988 ± 0.003
grisoni,5,fragSMILES,2,256,300,0.001,512,6000,4,1.0,1820.0 ± 50.0,420.0 ± 30.0,1400.0 ± 30.0,1400.0 ± 30.0,1390.0 ± 40.0,0.23 ± 0.01,0.77 ± 0.01,0.998 ± 0.002,0.995 ± 0.002
grisoni,5,fragSMILES,2,512,300,0.001,256,6000,4,1.0,2000.0 ± 100.0,290.0 ± 30.0,1700.0 ± 100.0,1700.0 ± 100.0,1600.0 ± 100.0,0.15 ± 0.01,0.85 ± 0.01,0.9988 ± 0.0009,0.977 ± 0.003
grisoni,5,fragSMILES,2,512,300,0.001,512,6000,4,1.0,1900.0 ± 200.0,340.0 ± 40.0,1600.0 ± 200.0,1600.0 ± 200.0,1600.0 ± 200.0,0.18 ± 0.01,0.82 ± 0.01,0.999 ± 0.002,0.985 ± 0.003
grisoni,5,fragSMILES,3,256,300,0.001,256,6000,4,1.0,1820.0 ± 90.0,420.0 ± 10.0,1400.0 ± 90.0,1400.0 ± 90.0,1380.0 ± 90.0,0.23 ± 0.01,0.77 ± 0.01,0.998 ± 0.002,0.986 ± 0.002
grisoni,5,fragSMILES,3,256,300,0.001,512,6000,4,1.0,1900.0 ± 100.0,510.0 ± 40.0,1400.0 ± 100.0,1400.0 ± 100.0,1400.0 ± 100.0,0.27 ± 0.02,0.73 ± 0.02,0.9994 ± 0.0008,0.992 ± 0.002
grisoni,5,fragSMILES,3,512,300,0.001,256,6000,4,1.0,1890.0 ± 60.0,310.0 ± 20.0,1590.0 ± 50.0,1580.0 ± 50.0,1530.0 ± 60.0,0.162 ± 0.009,0.838 ± 0.009,0.998 ± 0.001,0.969 ± 0.004
grisoni,5,fragSMILES,3,512,300,0.001,512,6000,4,1.0,1870.0 ± 60.0,400.0 ± 40.0,1470.0 ± 50.0,1470.0 ± 50.0,1440.0 ± 50.0,0.21 ± 0.02,0.79 ± 0.02,0.9977 ± 0.0009,0.982 ± 0.003
