,,,,,,chirals,chirals,invalid,invalid,valid,valid,unique,unique,novel,novel,invalid%,invalid%,valid%,valid%,unique%,unique%,novel%,novel%
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
aug,notation,hl,hu,bs,lr,,,,,,,,,,,,,,,,,,
5,SMILES,2,512,256,0.001,1837.6,172.1650371010328,318.8,54.86528957364574,1518.8,119.08274434190707,1518.8,119.08274434190707,1514.2,119.69419367705353,0.17250911423544538,0.014743546019563084,0.8274908857645545,0.014743546019563106,1.0,0.0,0.996934714686563,0.0014304770668643252
5,SMILES,2,512,512,0.001,1841.2,129.43801605401714,334.8,49.332545038746986,1506.4,83.82899259802662,1506.4,83.82899259802662,1503.0,84.41563836162112,0.18111216614775943,0.01574236702607364,0.8188878338522405,0.015742367026073643,1.0,0.0,0.9977189625411974,0.0009712007074163133
5,SMILES,3,256,256,0.001,1767.6,141.94470754487466,336.8,26.705804612480783,1430.8,126.01468168431803,1430.8,126.01468168431803,1430.2,126.82744182549769,0.19093116583863504,0.013151608297364597,0.809068834161365,0.013151608297364566,1.0,0.0,0.9995357291970743,0.0007044397671737052
5,SMILES,3,256,512,0.001,1742.8,104.42557158091117,395.2,27.0129598526337,1347.6,85.8125864893956,1347.6,85.8125864893956,1347.0,87.06032391393911,0.2268602040915832,0.010227634377353882,0.7731397959084167,0.010227634377353896,1.0,0.0,0.9995020746887967,0.0011133948435683562
5,SMILES,3,512,256,0.001,1842.4,86.56962515801949,243.2,29.752310834622577,1599.2,73.83562825628289,1599.2,73.83562825628289,1595.2,73.48945502587429,0.1319035372101492,0.013616256421367743,0.868096462789851,0.013616256421367722,1.0,0.0,0.9975030510200836,0.0004068819078906997
5,SMILES,3,512,512,0.001,1854.6,107.5932153994851,286.2,21.300234740490538,1568.4,88.79639632327428,1568.4,88.79639632327428,1565.2,89.32636788765117,0.15425853934321973,0.005213754982822096,0.8457414606567802,0.005213754982822095,1.0,0.0,0.9979386728092201,0.0012597114170138967
5,fragSMILES,2,256,256,0.001,1783.8,110.72127166899773,357.6,26.996296042235127,1426.2,94.00106382376744,1423.2,94.95893849448824,1406.2,95.91767303265858,0.20058144219870888,0.01102620031551742,0.7994185578012911,0.011026200315517407,0.9978573685522225,0.0026845338266140166,0.9879744218257995,0.0025397720364600963
5,fragSMILES,2,256,512,0.001,1822.4,54.87986880450791,424.6,31.769482211707512,1397.8,31.260198335903116,1395.2,34.1935666463737,1387.6,35.64828186603107,0.23279302991022294,0.011838763134888682,0.767206970089777,0.011838763134888653,0.9981014826417764,0.002429601759942746,0.9945306880930683,0.0024558703281999804
5,fragSMILES,2,512,256,0.001,1960.4,129.777887176514,294.6,34.56587912956938,1665.8,106.00330183536738,1663.8,106.52088996999603,1625.4,102.02352669850225,0.15005374538878063,0.012301079353318011,0.8499462546112193,0.012301079353317996,0.9987801504161544,0.0008701098604797326,0.9769813848965778,0.003367289929881535
5,fragSMILES,2,512,512,0.001,1919.4,217.20911583080485,340.8,38.15363678602605,1578.6,188.7519536322737,1576.6,189.25723235850197,1553.4,190.3031791641958,0.1778856327807048,0.013218250549724754,0.8221143672192952,0.013218250549724763,0.9986860146817735,0.0017294498902557791,0.9850729593800125,0.0030435442203647074
