,,,,,,FCD/Test,FCD/Test,SNN/Test,SNN/Test,Scaf/Test,Scaf/Test,IntDiv,IntDiv,IntDiv2,IntDiv2,Filters,Filters,logP,logP,SA,SA,QED,QED,weight,weight
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
aug,notation,hl,hu,bs,lr,,,,,,,,,,,,,,,,,,,,
1,SMILES,3,512,512,0.001,0.7332561810033524,0.07067984336445472,0.49796185816377403,0.0023052515422770955,0.364451664740049,0.021621404529095126,0.8693687128820631,0.0014747437742330999,0.8637167521941228,0.0014396814203448043,0.8444,0.006800326789533339,0.10572406550062378,0.029499124053215742,0.02667432139528052,0.007522730660947176,0.01773380521679088,0.007387175309317495,9.246973602623026,4.694998465661607
1,fragSMILES,2,256,256,0.001,1.1622777967613842,0.2643776216648947,0.45825073607141775,0.007593003318357691,0.28615791510875366,0.027475205849697298,0.8672793358031665,0.0023430519189387602,0.8618823677262334,0.002071103732656633,0.8389666666666666,0.008790304001821785,0.14809843810878714,0.0720892688464908,0.04445865284275312,0.04146768291668603,0.02551654500439688,0.020479096629290188,13.31704927277094,10.852698685041553
1,fragSMILES,2,256,512,0.001,0.8386711900131445,0.04232374726800881,0.47506613566540173,0.0035310121896804654,0.3480306623565058,0.024275284167812584,0.8695434288985519,0.0003469430667790701,0.8639215030071142,0.0003120462682518991,0.8457000000000001,0.004967114073808076,0.10938837142207006,0.029965186801580026,0.05365923600499606,0.025046012472423714,0.01640061090838716,0.009326974670312646,10.800170379236617,6.178502975639902
1,fragSMILES,2,512,256,0.001,1.123439066678887,0.16044511331436725,0.4915524503905326,0.00724554255913693,0.41405978559130896,0.04812548623766066,0.8701073671908833,0.0023092197663106733,0.864302295259227,0.0023990308279133814,0.8481666666666665,0.006326750965367426,0.20744512234345253,0.1862058274593493,0.07670620978964607,0.09246351116912647,0.03926034066146198,0.019955401484633036,23.46849554258602,10.036277608881726
1,fragSMILES,2,512,512,0.001,0.6912014667842584,0.04972389314304013,0.5102892348897954,0.002531698781004587,0.3845491340955029,0.020947303292661288,0.868949714140647,0.0008411934215210187,0.8633625236314296,0.0008007430142693336,0.8453666666666667,0.0033237361842092914,0.11197103339159405,0.061879238151936564,0.054894247230243366,0.0268646902718864,0.01397176551756614,0.01067549661136619,8.961048492001078,4.824046834480238
1,fragSMILES,3,256,256,0.001,1.0429071054799295,0.09604814944397962,0.4597761466053624,0.0031445224177037976,0.35826851434658546,0.017782205057478698,0.8693212410195926,0.0009319623862925506,0.8637319695261979,0.0007717725832525612,0.8447666666666667,0.004454398575191344,0.18073146389912617,0.11897762098004537,0.038282428504390925,0.02459671061525953,0.01561996343078686,0.015026624740049807,11.822993479396022,8.839511462591215
1,fragSMILES,3,256,512,0.001,0.8443155984956803,0.06466907561553766,0.47319133762779336,0.0051550046159794536,0.36167399199254296,0.029591520164373025,0.8690290803876985,0.0012959046416862335,0.8634694406261165,0.0012329671611509736,0.8392999999999999,0.008183995221026112,0.09212148433311462,0.02798862979062936,0.04192515789476912,0.026233658531745214,0.01224584478593064,0.006591089136302336,8.977898835922675,6.676333871045932
1,fragSMILES,3,512,256,0.001,1.0230143151480262,0.16043941620362503,0.49189585958930354,0.006252327395690674,0.39413631190308224,0.06500780690327541,0.8682752111132104,0.0017250116712704845,0.8625942617695775,0.0016971638094371924,0.8413666666666668,0.0015064675384635314,0.23038241707683688,0.10852756618029244,0.09496600065422331,0.06499749180896047,0.02400359111961946,0.018892856816481014,14.77427223044096,13.481322108533634
1,fragSMILES,3,512,512,0.001,0.6936732818398866,0.06588129198902173,0.5167900429392854,0.004087375808319012,0.4082413131902899,0.01881387348363701,0.8699664190252516,0.0007612918141739971,0.8643543327869707,0.0007413090578516198,0.8503333333333332,0.004104536785341579,0.09601524835630007,0.03693767485100766,0.03846103004569849,0.023398248707023672,0.012418455243974441,0.009083586732888662,8.252664314133469,3.93248450525702
1,t-SMILES,2,256,256,0.001,3.188148551197412,0.268011003371378,0.3947992910993595,0.010546276835084632,0.3295712996666266,0.04518634905497079,0.8744821491863005,0.003201414661332465,0.8680726477983282,0.0032515530819890847,0.825,0.017521415467935238,0.2494288062976048,0.17421915382370454,0.07045715278908067,0.025225458179740232,0.03124706212149724,0.018290238848347396,41.22237122570367,13.298196491229286
