,,,,,,valid,valid,unique,unique,novel,novel,valid%,valid%,unique%,unique%,novel%,novel%
,,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
aug,notation,hl,hu,bs,lr,,,,,,,,,,,,
5,fragSMILES,3,256,512,0.001,4928.0,55.82562135793923,4924.8,57.32102581077906,4894.6,52.73329119256639,0.8213333333333332,0.009304270226323214,0.999347999433901,0.0006166112892845595,0.9938762242843406,0.0014667592634527995
5,fragSMILES,3,512,256,0.001,5392.4,31.832373458477772,5384.8,32.414502926930716,5237.2,30.268795813510653,0.8987333333333334,0.005305395576412977,0.9985902547271822,0.0007171330029876131,0.972594711334376,0.0031724396049998362
5,fragSMILES,3,512,512,0.001,5201.6,60.72314221118667,5193.0,58.159264094381385,5115.6,63.95936209813228,0.8669333333333334,0.010120523701864448,0.9983513194369857,0.0008876221498931773,0.985084122203958,0.001528395244089782
5,t-SMILES,2,256,256,0.001,6000.0,0.0,5889.4,15.485477067239485,5879.4,14.774978849392646,1.0,0.0,0.9815666666666667,0.002580912844539916,0.9983024039921385,0.0005747750849244078
5,t-SMILES,2,256,512,0.001,6000.0,0.0,5869.4,11.502173707608488,5862.6,10.922453936730518,1.0,0.0,0.9782333333333334,0.0019170289512680846,0.9988416039412694,0.00014074956011429058
5,t-SMILES,2,512,256,0.001,6000.0,0.0,5927.2,12.357184145265457,5885.0,13.397761006974262,1.0,0.0,0.9878666666666666,0.0020595306908776016,0.9928800552463055,0.0005155045492945904
5,t-SMILES,2,512,512,0.001,6000.0,0.0,5920.2,10.825894882179487,5877.6,12.660963628413123,1.0,0.0,0.9867000000000001,0.001804315813696578,0.9928044974448594,0.0013327033137290828
5,t-SMILES,3,256,256,0.001,6000.0,0.0,5933.4,19.346834366376324,5923.0,17.592612085759182,1.0,0.0,0.9889000000000001,0.0032244723943960748,0.9982481485242124,0.000738161494053381
5,t-SMILES,3,256,512,0.001,6000.0,0.0,5916.4,8.44393273303382,5909.8,11.03177229641729,1.0,0.0,0.9860666666666666,0.0014073221221723225,0.9988840082273855,0.0005693999580205541
5,t-SMILES,3,512,256,0.001,6000.0,0.0,5937.8,12.336936410632909,5881.4,13.794926603646719,1.0,0.0,0.9896333333333333,0.002056156068438805,0.9905013074023776,0.0007805163751733264
5,t-SMILES,3,512,512,0.001,6000.0,0.0,5938.4,7.436396977031283,5890.2,8.167006795638168,1.0,0.0,0.9897333333333334,0.0012393994961718783,0.9918833623422761,0.0006447742199447566
